id,text
1,We want our team to feel safe and supported at work.
2,The new system should be super easy for everyone to learn.
3,People are getting frustrated with how slow things are lately.
4,There needs to be a way for employees to give feedback anonymously.
5,Managers should be able to see who is doing what.
6,We need the thing to handle a lot of people at once.
7,It would be great if we could integrate with our payroll software somehow.
8,People want to feel their data is being kept safe.
9,The whole thing needs to work on phones too.
10,We need TBD support for remote workers.
11,Login should be quick and not annoying.
12,There should be some kind of help section that is easy to find.
